receiver_id,fantasy_id,receiver,rec,air_yards,yards_per_target,yards_after_catch,td_rate,outside_rec,dist_from_sticks,first_down,posteam,position
00-0027061,00-0027061,J.Cook,48,7.181818181818182,6.311111111111111,4.958333333333333,0.044444444444444446,0.8313253012048193,-0.2597402597402597,0.37777777777777777,LAC,TE
00-0027656,00-0027656,R.Gronkowski,64,9.747474747474747,8.422018348623853,6.546875,0.06422018348623854,0.6132075471698113,2.080808080808081,0.3853211009174312,TB,TE
00-0027793,00-0027793,A.Brown,42,10.5,8.384615384615385,4.523809523809524,0.06153846153846154,0.9193548387096774,3.125,0.47692307692307695,TB,WR
00-0027944,00-0027944,J.Jones,37,11.296296296296296,8.701754385964913,3.675675675675676,0.017543859649122806,0.7272727272727273,4.018518518518518,0.40350877192982454,TEN,WR
00-0027981,00-0027981,K.Rudolph,26,5.714285714285714,6.166666666666667,5.269230769230769,0.023809523809523808,0.717948717948718,-1.8333333333333333,0.38095238095238093,NYG,TE
00-0028002,00-0028002,R.Cobb,28,7.513513513513513,9.375,4.928571428571429,0.125,0.65,0.8108108108108109,0.525,GB,WR
00-0029000,00-0029000,C.Beasley,89,4.651376146788991,6.094488188976378,3.853932584269663,0.007874015748031496,0.743801652892562,-3.376146788990826,0.2992125984251969,BUF,WR
00-0030035,00-0030035,A.Thielen,67,9.216867469879517,7.117647058823529,3.5671641791044775,0.09803921568627451,0.8736842105263158,1.5421686746987953,0.38235294117647056,MIN,WR
00-0030061,00-0030061,Z.Ertz,77,6.423076923076923,6.426229508196721,4.571428571428571,0.040983606557377046,0.6379310344827587,-0.9519230769230769,0.36065573770491804,ARI,TE
00-0030108,00-0030108,R.Griffin,27,5,5.8,5.518518518518518,0.044444444444444446,0.7619047619047619,-3.05,0.3333333333333333,NYJ,TE
00-0030181,00-0030181,J.Doyle,29,5.925,6.608695652173913,4.310344827586207,0.06521739130434782,0.6976744186046512,-1.225,0.43478260869565216,IND,TE
00-0030279,00-0030279,K.Allen,106,7.326797385620915,6.733727810650888,3.1792452830188678,0.03550295857988166,0.7579617834394905,-0.0392156862745098,0.40828402366863903,LAC,WR
00-0030431,00-0030431,R.Woods,45,7.538461538461538,7.75,4.4,0.05555555555555555,0.6811594202898551,-0.23076923076923078,0.5,LA,WR
00-0030506,00-0030506,T.Kelce,105,6.706293706293707,8.10909090909091,6.304761904761905,0.06666666666666667,0.6375838926174496,-1.1258741258741258,0.49696969696969695,KC,TE
00-0030564,00-0030564,D.Hopkins,42,10.967213114754099,8.056338028169014,3.3333333333333335,0.11267605633802817,0.875,3.737704918032787,0.5070422535211268,ARI,WR
00-0031235,00-0031235,O.Beckham,54,11.655172413793103,6.534653465346534,3.5925925925925926,0.0594059405940594,0.7872340425531915,4.528735632183908,0.38613861386138615,LA,WR
00-0031236,00-0031236,B.Cooks,90,9.791666666666666,7.137931034482759,3.9444444444444446,0.041379310344827586,0.8507462686567164,2.4583333333333335,0.36551724137931035,HOU,WR
00-0031273,00-0031273,C.Brate,34,6.948275862068965,4.421875,3.1470588235294117,0.0625,0.5714285714285714,-0.4827586206896552,0.28125,TB,TE
00-0031325,00-0031325,S.Watkins,27,12.565217391304348,8.040816326530612,3.6666666666666665,0.02040816326530612,0.6326530612244898,3.9565217391304346,0.3469387755102041,BAL,WR
00-0031381,00-0031381,D.Adams,132,8.576271186440678,8.557291666666666,4.803030303030303,0.057291666666666664,0.8111111111111111,0.8870056497175142,0.5052083333333334,GB,WR
00-0031382,00-0031382,J.Landry,52,7.298701298701299,6.406593406593407,5.5,0.02197802197802198,0.8505747126436781,-0.8701298701298701,0.3626373626373626,CLE,WR
00-0031408,00-0031408,M.Evans,91,11.540740740740741,8.705479452054794,3.4945054945054945,0.1095890410958904,0.7785714285714286,3.9851851851851854,0.4863013698630137,TB,WR
00-0031428,00-0031428,A.Robinson,38,9.863636363636363,5.5675675675675675,2.6578947368421053,0.013513513513513514,0.8181818181818182,2.257575757575758,0.3918918918918919,CHI,WR
00-0031544,00-0031544,A.Cooper,74,9.455357142857142,7.5528455284552845,3.2162162162162162,0.07317073170731707,0.8508771929824561,1.75,0.43089430894308944,DAL,WR
00-0031547,00-0031547,D.Parker,40,10.3,6.602564102564102,2.6,0.02564102564102564,0.7808219178082192,2.4714285714285715,0.4230769230769231,MIA,WR
00-0031549,00-0031549,N.Agholor,38,13.158730158730158,6.726027397260274,3.210526315789474,0.0410958904109589,0.803030303030303,4.587301587301587,0.410958904109589,NE,WR
